SWB,Status,Product,Container,Seller,Buyer,Transit Port,Final Destination,ETD,ETA POD,Customs Cleared,Goods (EUR),Freight (USD),B/L No,Container No,Seal No,Folder,Docs in folder
DHL-SWB-001,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2021-12-18,2022-01-08,2022-01-18,170000,3650,SGSINPGPOM7908001,TGBU 100137-0,SG-DHL-20211218-001,DHL-SWB-001_Delivered,8
DHL-SWB-002,Teslim,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Australia,2021-12-12,2022-01-16,2022-01-27,127000,8050,SGSINFJSUV8039002,FRBU 100274-7,SG-DHL-20211212-002,DHL-SWB-002_Delivered,8
DHL-SWB-003,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2021-12-28,2022-01-18,2022-01-30,170000,3650,SGSINPGPOM8170003,TGBU 100411-4,SG-DHL-20211228-003,DHL-SWB-003_Delivered,8
DHL-SWB-004,Teslim,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Australia,2022-01-02,2022-02-09,2022-02-20,160000,8050,SGSINFJSUV8301004,FRBU 100548-1,SG-DHL-20220102-004,DHL-SWB-004_Delivered,8
DHL-SWB-005,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2022-02-04,2022-02-24,2022-03-07,170000,3650,SGSINPGPOM8432005,TGBU 100685-8,SG-DHL-20220204-005,DHL-SWB-005_Delivered,8
DHL-SWB-006,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2022-02-14,2022-03-06,2022-03-16,170000,3650,SGSINPGPOM8563006,TGBU 100822-5,SG-DHL-20220214-006,DHL-SWB-006_Delivered,8
DHL-SWB-007,Teslim,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,Australia,2022-02-05,2022-03-17,2022-03-28,260000,4320,SGSINFJSUV8694007,TGBU 100959-2,SG-DHL-20220205-007,DHL-SWB-007_Delivered,8
DHL-SWB-008,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2022-02-28,2022-03-19,2022-03-30,170000,3650,SGSINPGPOM8825008,TGBU 101096-9,SG-DHL-20220228-008,DHL-SWB-008_Delivered,8
DHL-SWB-009,Teslim,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Australia,2022-03-01,2022-04-09,2022-04-19,13000,4320,SGSINFJSUV8956009,TGBU 101233-6,SG-DHL-20220301-009,DHL-SWB-009_Delivered,8
DHL-SWB-010,Teslim,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Australia,2022-03-15,2022-04-23,2022-05-04,127000,8050,SGSINFJSUV9087010,FRBU 101370-3,SG-DHL-20220315-010,DHL-SWB-010_Delivered,8
DHL-SWB-011,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2022-04-04,2022-04-25,2022-05-06,170000,3650,SGSINPGPOM9218011,TGBU 101507-0,SG-DHL-20220404-011,DHL-SWB-011_Delivered,8
DHL-SWB-012,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2022-05-22,2022-06-13,2022-06-24,170000,3650,SGSINPGPOM9349012,TGBU 101644-7,SG-DHL-20220522-012,DHL-SWB-012_Delivered,8
DHL-SWB-013,Teslim,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,Australia,2022-05-25,2022-07-03,2022-07-15,260000,4320,SGSINFJSUV9480013,TGBU 101781-4,SG-DHL-20220525-013,DHL-SWB-013_Delivered,8
DHL-SWB-014,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Australia,2022-06-30,2022-07-22,2022-08-02,170000,3650,SGSINPGPOM9611014,TGBU 101918-1,SG-DHL-20220630-014,DHL-SWB-014_Delivered,8
DHL-SWB-015,Teslim,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2022-07-28,2022-09-07,2022-09-17,160000,8050,SGSINFJSUV9742015,FRBU 102055-8,SG-DHL-20220728-015,DHL-SWB-015_Delivered,8
DHL-SWB-016,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Korea (Direct),2022-08-28,2022-09-17,2022-09-28,170000,3650,SGSINPGPOM9873016,TGBU 102192-5,SG-DHL-20220828-016,DHL-SWB-016_Delivered,8
DHL-SWB-017,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Korea (Direct),2022-09-18,2022-10-08,2022-10-20,170000,3650,SGSINPGPOM0004017,TGBU 102329-2,SG-DHL-20220918-017,DHL-SWB-017_Delivered,8
DHL-SWB-018,Teslim,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2022-09-10,2022-10-21,2022-10-31,13000,4320,SGSINFJSUV0135018,TGBU 102466-9,SG-DHL-20220910-018,DHL-SWB-018_Delivered,8
DHL-SWB-019,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Korea (Transit),2022-10-06,2022-10-26,2022-11-06,170000,3650,SGSINPGPOM0266019,TGBU 102603-6,SG-DHL-20221006-019,DHL-SWB-019_Delivered,8
DHL-SWB-020,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Korea (Transit),2023-01-15,2023-02-03,2023-02-13,170000,3650,SGSINPGPOM0397020,TGBU 102740-3,SG-DHL-20230115-020,DHL-SWB-020_Delivered,8
DHL-SWB-021,Teslim,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,New Zealand,2023-01-01,2023-02-09,2023-02-20,260000,4320,SGSINFJSUV0528021,TGBU 102877-0,SG-DHL-20230101-021,DHL-SWB-021_Delivered,8
DHL-SWB-022,Teslim,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2023-04-05,2023-05-21,2023-06-02,127000,8050,SGSINFJSUV0659022,FRBU 103014-7,SG-DHL-20230405-022,DHL-SWB-022_Delivered,8
DHL-SWB-023,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Korea (Direct),2023-06-19,2023-07-09,2023-07-21,170000,3650,SGSINPGPOM0790023,TGBU 103151-4,SG-DHL-20230619-023,DHL-SWB-023_Delivered,8
DHL-SWB-024,Teslim,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2023-08-01,2023-09-11,2023-09-22,13000,4320,SGSINFJSUV0921024,TGBU 103288-1,SG-DHL-20230801-024,DHL-SWB-024_Delivered,8
DHL-SWB-025,Teslim,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,Korea (Transit),2023-08-22,2023-09-11,2023-09-22,170000,3650,SGSINPGPOM1052025,TGBU 103425-8,SG-DHL-20230822-025,DHL-SWB-025_Delivered,8
DHL-SWB-026,Teslim,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,New Zealand,2023-10-15,2023-11-25,2023-12-06,260000,4320,SGSINFJSUV1183026,TGBU 103562-5,SG-DHL-20231015-026,DHL-SWB-026_Delivered,8
DHL-SWB-027,Teslim,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2023-12-20,2024-02-17,2024-02-28,160000,8050,SGSINFJSUV1314027,FRBU 103699-2,SG-DHL-20231220-027,DHL-SWB-027_Delivered,8
DHL-SWB-028,Teslim,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2024-01-10,2024-03-08,2024-03-20,13000,4320,SGSINFJSUV1445028,TGBU 103836-9,SG-DHL-20240110-028,DHL-SWB-028_Delivered,8
DHL-SWB-029,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2024-02-14,2024-03-07,2024-03-18,170000,3650,SGSINPGPOM1576029,TGBU 103973-6,SG-DHL-20240214-029,DHL-SWB-029_Depot,9
DHL-SWB-030,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2024-04-19,2024-05-09,2024-05-20,170000,3650,SGSINPGPOM1707030,TGBU 104110-3,SG-DHL-20240419-030,DHL-SWB-030_Depot,9
DHL-SWB-031,Teslim,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,New Zealand,2024-04-01,2024-05-14,2024-05-24,260000,4320,SGSINFJSUV1838031,TGBU 104247-0,SG-DHL-20240401-031,DHL-SWB-031_Delivered,8
DHL-SWB-032,Teslim,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2024-04-28,2024-06-10,2024-06-20,127000,8050,SGSINFJSUV1969032,FRBU 104384-7,SG-DHL-20240428-032,DHL-SWB-032_Delivered,8
DHL-SWB-033,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2024-05-22,2024-06-11,2024-06-22,170000,3650,SGSINPGPOM2100033,TGBU 104521-4,SG-DHL-20240522-033,DHL-SWB-033_Depot,9
DHL-SWB-034,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2024-09-11,2024-10-01,2024-10-12,170000,3650,SGSINPGPOM2231034,TGBU 104658-1,SG-DHL-20240911-034,DHL-SWB-034_Depot,9
DHL-SWB-035,Teslim,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,New Zealand,2024-08-25,2024-10-05,2024-10-15,13000,4320,SGSINFJSUV2362035,TGBU 104795-8,SG-DHL-20240825-035,DHL-SWB-035_Delivered,8
DHL-SWB-036,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-01-25,2025-02-15,2025-02-25,170000,3650,SGSINPGPOM2493036,TGBU 104932-5,SG-DHL-20250125-036,DHL-SWB-036_Depot,9
DHL-SWB-037,Depoda,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,Fiji Depot Area,2025-01-02,2025-02-16,2025-02-26,260000,4320,SGSINFJSUV2624037,TGBU 105069-2,SG-DHL-20250102-037,DHL-SWB-037_Depot,9
DHL-SWB-038,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-02-20,2025-03-11,2025-03-22,170000,3650,SGSINPGPOM2755038,TGBU 105206-9,SG-DHL-20250220-038,DHL-SWB-038_Depot,9
DHL-SWB-039,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-03-29,2025-04-18,2025-04-29,170000,3650,SGSINPGPOM2886039,TGBU 105343-6,SG-DHL-20250329-039,DHL-SWB-039_Depot,9
DHL-SWB-040,Depoda,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-03-10,2025-04-23,2025-05-04,160000,8050,SGSINFJSUV3017040,FRBU 105480-3,SG-DHL-20250310-040,DHL-SWB-040_Depot,9
DHL-SWB-041,Depoda,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-03-25,2025-05-03,2025-05-13,13000,4320,SGSINFJSUV3148041,TGBU 105617-0,SG-DHL-20250325-041,DHL-SWB-041_Depot,9
DHL-SWB-042,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-05-02,2025-05-22,2025-06-02,170000,3650,SGSINPGPOM3279042,TGBU 105754-7,SG-DHL-20250502-042,DHL-SWB-042_Depot,9
DHL-SWB-043,Depoda,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,Fiji Depot Area,2025-04-18,2025-05-27,2025-06-06,260000,4320,SGSINFJSUV3410043,TGBU 105891-4,SG-DHL-20250418-043,DHL-SWB-043_Depot,9
DHL-SWB-044,Depoda,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-05-20,2025-07-03,2025-07-14,127000,8050,SGSINFJSUV3541044,FRBU 106028-1,SG-DHL-20250520-044,DHL-SWB-044_Depot,9
DHL-SWB-045,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-06-12,2025-07-03,2025-07-14,170000,3650,SGSINPGPOM3672045,TGBU 106165-8,SG-DHL-20250612-045,DHL-SWB-045_Depot,9
DHL-SWB-046,Depoda,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-06-01,2025-07-18,2025-07-29,13000,4320,SGSINFJSUV3803046,TGBU 106302-5,SG-DHL-20250601-046,DHL-SWB-046_Depot,9
DHL-SWB-047,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-07-15,2025-08-04,2025-08-15,170000,3650,SGSINPGPOM3934047,TGBU 106439-2,SG-DHL-20250715-047,DHL-SWB-047_Depot,9
DHL-SWB-048,Depoda,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,Fiji Depot Area,2025-06-20,2025-08-04,2025-08-14,260000,4320,SGSINFJSUV4065048,TGBU 106576-9,SG-DHL-20250620-048,DHL-SWB-048_Depot,9
DHL-SWB-049,Depoda,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-06-25,2025-08-12,2025-08-22,160000,8050,SGSINFJSUV4196049,FRBU 106713-6,SG-DHL-20250625-049,DHL-SWB-049_Depot,9
DHL-SWB-050,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2025-12-15,2026-01-04,2026-01-14,170000,3650,SGSINPGPOM4327050,TGBU 106850-3,SG-DHL-20251215-050,DHL-SWB-050_Depot,9
DHL-SWB-051,Depoda,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-11-20,2026-01-04,2026-01-15,13000,4320,SGSINFJSUV4458051,TGBU 106987-0,SG-DHL-20251120-051,DHL-SWB-051_Depot,9
DHL-SWB-052,Depoda,Cyl Head,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port of Suva,Fiji Depot Area,2025-11-25,2026-01-18,2026-01-29,260000,4320,SGSINFJSUV4589052,TGBU 107124-7,SG-DHL-20251125-052,DHL-SWB-052_Depot,9
DHL-SWB-053,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2026-01-07,2026-01-27,2026-02-06,170000,3650,SGSINPGPOM4720053,TGBU 107261-4,SG-DHL-20260107-053,DHL-SWB-053_Depot,9
DHL-SWB-054,Depoda,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy Machinery Pte Ltd,Port of Suva,Fiji Depot Area,2025-12-28,2026-02-15,2026-02-26,127000,8050,SGSINFJSUV4851054,FRBU 107398-1,SG-DHL-20251228-054,DHL-SWB-054_Depot,9
DHL-SWB-055,Depoda,Cyl Liner,20ft FCL,MAN Energy Solutions SE,Marine Power Solutions Singapore Pte Ltd,Port Moresby,PNG Depot Area,2026-02-03,2026-02-23,2026-03-05,170000,3650,SGSINPGPOM4982055,TGBU 107535-8,SG-DHL-20260203-055,DHL-SWB-055_Depot,9
