swb_no,product,container,seller,buyer,etd_singapore,transit_port,port_arrival,customs_clearance,final_destination,status,goods_value_eur,freight_cost_usd,transit_days_etd_to_arrival,dwell_days_arrival_to_customs
DHL-SWB-001,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2021-12-18,Port Moresby,2022-01-08,2022-01-18,Australia,Teslim,170000,3650,21,10
DHL-SWB-002,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy,2021-12-12,Port of Suva,2022-01-16,2022-01-27,Australia,Teslim,127000,8050,35,11
DHL-SWB-003,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2021-12-28,Port Moresby,2022-01-18,2022-01-30,Australia,Teslim,170000,3650,21,12
DHL-SWB-004,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy,2022-01-02,Port of Suva,2022-02-09,2022-02-20,Australia,Teslim,160000,8050,38,11
DHL-SWB-005,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-02-04,Port Moresby,2022-02-24,2022-03-07,Australia,Teslim,170000,3650,20,11
DHL-SWB-006,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-02-14,Port Moresby,2022-03-06,2022-03-16,Australia,Teslim,170000,3650,20,10
DHL-SWB-007,Cyl Head,20ft FCL,MAN Energy,Marine Power,2022-02-05,Port of Suva,2022-03-17,2022-03-28,Australia,Teslim,260000,4320,40,11
DHL-SWB-008,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-02-28,Port Moresby,2022-03-19,2022-03-30,Australia,Teslim,170000,3650,19,11
DHL-SWB-009,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2022-03-01,Port of Suva,2022-04-09,2022-04-19,Australia,Teslim,13000,4320,39,10
DHL-SWB-010,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy,2022-03-15,Port of Suva,2022-04-23,2022-05-04,Australia,Teslim,127000,8050,39,11
DHL-SWB-011,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-04-04,Port Moresby,2022-04-25,2022-05-06,Australia,Teslim,170000,3650,21,11
DHL-SWB-012,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-05-22,Port Moresby,2022-06-13,2022-06-24,Australia,Teslim,170000,3650,22,11
DHL-SWB-013,Cyl Head,20ft FCL,MAN Energy,Marine Power,2022-05-25,Port of Suva,2022-07-03,2022-07-15,Australia,Teslim,260000,4320,39,12
DHL-SWB-014,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-06-30,Port Moresby,2022-07-22,2022-08-02,Australia,Teslim,170000,3650,22,11
DHL-SWB-015,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy,2022-07-28,Port of Suva,2022-09-07,2022-09-17,New Zealand,Teslim,160000,8050,41,10
DHL-SWB-016,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-08-28,Port Moresby,2022-09-17,2022-09-28,Korea (Direct),Teslim,170000,3650,20,11
DHL-SWB-017,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-09-18,Port Moresby,2022-10-08,2022-10-20,Korea (Direct),Teslim,170000,3650,20,12
DHL-SWB-018,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2022-09-10,Port of Suva,2022-10-21,2022-10-31,New Zealand,Teslim,13000,4320,41,10
DHL-SWB-019,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2022-10-06,Port Moresby,2022-10-26,2022-11-06,Korea (Transit),Teslim,170000,3650,20,11
DHL-SWB-020,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2023-01-15,Port Moresby,2023-02-03,2023-02-13,Korea (Transit),Teslim,170000,3650,19,10
DHL-SWB-021,Cyl Head,20ft FCL,MAN Energy,Marine Power,2023-01-01,Port of Suva,2023-02-09,2023-02-20,New Zealand,Teslim,260000,4320,39,11
DHL-SWB-022,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy,2023-04-05,Port of Suva,2023-05-21,2023-06-02,New Zealand,Teslim,127000,8050,46,12
DHL-SWB-023,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2023-06-19,Port Moresby,2023-07-09,2023-07-21,Korea (Direct),Teslim,170000,3650,20,12
DHL-SWB-024,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2023-08-01,Port of Suva,2023-09-11,2023-09-22,New Zealand,Teslim,13000,4320,41,11
DHL-SWB-025,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2023-08-22,Port Moresby,2023-09-11,2023-09-22,Korea (Transit),Teslim,170000,3650,20,11
DHL-SWB-026,Cyl Head,20ft FCL,MAN Energy,Marine Power,2023-10-15,Port of Suva,2023-11-25,2023-12-06,New Zealand,Teslim,260000,4320,41,11
DHL-SWB-027,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy,2023-12-20,Port of Suva,2024-02-17,2024-02-28,New Zealand,Teslim,160000,8050,59,11
DHL-SWB-028,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2024-01-10,Port of Suva,2024-03-08,2024-03-20,New Zealand,Teslim,13000,4320,58,12
DHL-SWB-029,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2024-02-14,Port Moresby,2024-03-07,2024-03-18,PNG Depot Area,Depoda,170000,3650,22,11
DHL-SWB-030,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2024-04-19,Port Moresby,2024-05-09,2024-05-20,PNG Depot Area,Depoda,170000,3650,20,11
DHL-SWB-031,Cyl Head,20ft FCL,MAN Energy,Marine Power,2024-04-01,Port of Suva,2024-05-14,2024-05-24,New Zealand,Teslim,260000,4320,43,10
DHL-SWB-032,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy,2024-04-28,Port of Suva,2024-06-10,2024-06-20,New Zealand,Teslim,127000,8050,43,10
DHL-SWB-033,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2024-05-22,Port Moresby,2024-06-11,2024-06-22,PNG Depot Area,Depoda,170000,3650,20,11
DHL-SWB-034,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2024-09-11,Port Moresby,2024-10-01,2024-10-12,PNG Depot Area,Depoda,170000,3650,20,11
